"","id","fast_greedy","walks","infomap","louvain"
"633","726",1,1,2,4
"634","728",1,1,2,4
"635","731",1,1,2,4
"636","734",1,1,2,4
"637","735",1,1,2,4
"638","746",1,1,2,4
"639","747",1,1,2,4
"640","750",1,1,2,4
"641","756",1,1,2,4
"642","769",1,1,2,4
"643","774",1,1,2,4
"644","7",4,4,1,1
"645","34",4,3,1,1
"646","60",4,4,1,1
"647","152",2,3,1,3
"648","176",1,4,4,4
"649","223",2,3,1,3
"650","247",4,4,1,1
"651","271",4,4,1,1
"652","284",2,3,1,3
"653","286",4,4,1,1
"654","343",4,4,1,1
"655","355",3,4,1,3
"656","363",4,4,1,1
"657","437",3,3,1,3
"658","478",2,2,1,2
"659","483",2,2,1,2
"660","495",2,2,1,2
"661","513",2,2,1,2
"662","522",2,2,1,2
"663","539",2,3,1,2
"664","542",2,2,1,2
"665","548",2,3,1,3
"666","549",2,3,1,3
"667","555",1,1,4,4
"668","659",1,1,2,4
"669","764",1,1,2,4
"670","61",2,3,1,3
"671","94",2,3,1,3
"672","156",2,3,1,3
"673","232",2,3,1,1
"674","295",2,3,1,3
"675","435",3,3,1,3
"676","441",3,3,1,3
"677","452",2,2,1,2
"678","484",2,2,1,2
"679","500",2,2,1,2
"680","518",2,2,1,2
"681","570",2,2,5,2
"682","580",3,3,1,3
"683","715",2,2,1,2
"684","317",2,3,1,3
"685","461",2,2,1,2
"686","521",2,2,1,2
"687","538",2,2,1,2
"688","654",3,4,1,3
"689","702",2,3,1,2
"690","327",2,3,1,1
"691","498",2,2,1,2
"692","117",3,4,1,3
"693","460",2,2,1,2
"694","469",2,2,1,2
"695","472",2,2,1,2
"696","481",2,2,5,2
"697","763",2,2,1,2
"698","765",1,1,2,4
"699","772",1,4,1,3
"700","721",2,2,1,2
"701","767",1,1,2,4
"702","390",2,3,1,2
"703","464",2,2,1,2
"704","467",2,2,1,2
"705","530",2,2,1,2
"706","561",2,2,1,2
"707","563",2,2,5,2
"708","526",2,2,5,2
"709","501",2,3,1,2
"710","648",1,1,2,4
"711","482",2,2,1,2
"712","656",1,1,2,4
"713","685",1,1,2,4
"714","714",1,1,2,4
"715","547",2,2,5,2
"716","672",1,1,2,4
"717","477",2,2,5,2
"718","487",2,2,1,2
"719","505",2,2,1,2
"720","705",1,1,2,4
"721","708",1,1,2,4
"722","455",2,2,5,2
"723","494",2,2,5,2
"724","741",1,1,4,4
"725","776",1,1,2,4
"726","475",2,2,5,2
"727","519",2,2,1,2
"728","768",1,1,2,4
"729","468",2,2,1,2
"730","496",2,2,1,2
"731","554",2,2,1,2
"732","639",1,1,2,4
"733","688",1,1,2,4
"734","711",1,1,2,4
"735","766",1,1,2,4
"736","771",1,1,4,4
